"kaupverd";"teg_eign";"svfn";"byggar";"efstah";"haednr";"fjibmhl";"fjmib";"lyfta";"birtm2";"fjhaed";"fjbkar";"fjsturt";"fjklos";"fjeld";"fjherb";"fjstof";"fjgeym";"matssvaedi";"undirmatssvaedi"
18700;"Íbúðareign";0;"1970";3;2;7;1;0;123.7;1;1;0;1;1;3;1;2;200;0
15850;"Íbúðareign";0;"1953";2;0;3;1;0;67.9;1;0;1;1;1;1;1;1;70;0
14500;"Íbúðareign";0;"1921";2;0;4;1;0;45.7;1;0;1;1;1;1;1;0;20;0
15200;"Íbúðareign";0;"1967";3;1;13;1;0;83.2;1;1;0;1;1;2;1;1;200;0
21000;"Íbúðareign";0;"1952";3;0;4;1;0;93.1;1;1;0;1;1;2;1;2;70;0
35000;"Einbýlishús";6000;"1990";1;1;1;1;0;160.7;1;1;1;1;1;3;1;0;6040;0
18000;"Íbúðareign";1000;"1973";4;3;8;1;0;89.5;1;1;0;1;1;3;1;1;320;0
13500;"Íbúðareign";1000;"1971";8;7;30;1;1;49.9;1;1;0;1;1;1;1;1;320;0
17150;"Íbúðareign";0;"1983";3;1;6;1;0;76.1;1;1;1;1;1;1;1;2;220;0
67000;"Einbýlishús";0;"1970";1;1;1;1;0;197.1;1;0;0;0;0;0;0;0;280;31
23500;"Íbúðareign";0;"1986";7;1;33;1;1;85.4;1;0;1;1;1;2;1;1;90;0
65000;"Parhús";1300;"2011";1;1;1;1;0;190;1;0;1;1;1;3;2;1;530;0
45000;"Íbúðareign";1300;"2004";4;3;27;1;3;131.1;1;1;0;1;1;2;1;0;510;49
51500;"Íbúðareign";1000;"1995";2;1;2;1;0;216.4;2;2;2;2;1;6;2;2;320;0
24000;"Íbúðareign";1000;"1994";4;1;6;1;0;92.7;1;1;1;1;1;2;2;0;330;0
22600;"Íbúðareign";1000;"1993";3;1;6;1;0;83.9;1;1;0;1;1;2;1;0;330;0
24900;"Íbúðareign";0;"1960";11;6;42;1;2;104.2;1;0;0;0;0;0;0;0;100;0
20000;"Íbúðareign";0;"1960";5;2;12;1;0;86.1;1;1;0;1;1;2;1;1;72;0
31000;"Íbúðareign";0;"1982";4;3;10;1;0;123.2;2;1;1;2;1;5;1;0;72;0
33400;"Íbúðareign";1400;"1945";3;2;2;1;0;148.7;2;1;0;1;1;7;1;0;660;0
26900;"Íbúðareign";1400;"1993";3;3;9;1;0;119.7;1;1;1;1;1;3;1;1;650;0
36500;"Íbúðareign";0;"1960";2;2;3;1;0;147.4;1;1;1;1;1;3;1;0;100;0
31500;"Íbúðareign";0;"1945";2;2;3;1;0;131.1;2;1;0;1;1;4;3;1;90;0
23000;"Raðhús";0;"1961";2;1;1;1;0;109.3;2;1;0;1;1;3;1;0;284;0
22000;"Íbúðareign";0;"1974";3;2;6;1;0;113;1;1;0;1;1;3;2;1;150;22
20800;"Íbúðareign";1400;"1984";4;3;4;1;0;109.3;2;1;0;1;1;3;1;1;600;0
19692;"Íbúðareign";0;"1967";3;2;9;1;0;101.9;1;1;0;1;1;3;1;0;200;0
38000;"Einbýlishús";6000;"1984";1;1;1;1;0;198;1;1;1;2;1;4;1;0;6040;0
28800;"Íbúðareign";6000;"2009";2;1;10;1;0;142.2;1;0;1;1;1;3;1;1;6010;0
27500;"Raðhús";6000;"1984";2;1;1;1;0;179.6;2;1;1;1;1;4;2;0;6040;0
21000;"Íbúðareign";0;"1985";4;2;8;1;0;80.3;1;1;1;1;1;2;1;1;85;0
24900;"Íbúðareign";0;"1992";3;2;6;1;0;136;1;1;1;1;1;3;2;1;130;0
36100;"Einbýlishús";1400;"1956";1;1;1;1;0;186.2;2;1;0;2;1;5;3;2;600;0
22500;"Íbúðareign";0;"1993";3;3;5;1;0;111.1;1;1;1;1;1;3;1;0;130;0
15528;"Íbúðareign";0;"1974";4;3;10;1;0;63.7;1;1;0;1;1;1;1;1;161;0
17550;"Íbúðareign";0;"1934";2;0;3;1;0;58.4;1;1;0;1;1;1;2;1;11;0
18600;"Íbúðareign";0;"1960";9;7;38;1;1;77.3;1;1;0;1;1;2;1;0;90;0
30500;"Íbúðareign";0;"1955";3;3;4;1;0;105.4;1;1;1;1;1;4;2;1;70;0
17850;"Íbúðareign";1100;"1992";4;1;6;1;0;59.7;1;1;0;1;1;1;1;0;400;0
34600;"Íbúðareign";0;"1963";2;1;3;1;0;161.3;1;1;0;1;1;3;2;1;91;48
27000;"Íbúðareign";0;"1948";2;1;2;1;0;135.4;1;1;0;1;1;4;2;1;100;0
14000;"Íbúðareign";0;"1961";4;4;8;1;0;55.6;1;1;0;1;1;1;1;0;80;17
17583;"Íbúðareign";0;"1979";8;7;54;1;1;76.6;1;1;0;1;1;2;1;0;160;0
52800;"Raðhús";0;"1969";2;1;1;1;0;220.7;2;1;0;2;1;4;2;1;280;0
23800;"Íbúðareign";0;"1961";2;1;3;1;0;141.1;1;1;0;1;1;2;1;0;100;0
53000;"Einbýlishús";1400;"1979";1;1;1;1;0;231.8;2;1;0;2;1;5;1;1;600;0
28553;"Íbúðareign";1400;"2006";7;3;27;1;1;127.8;1;1;0;1;1;3;1;0;630;0
15100;"Íbúðareign";0;"1921";2;0;3;1;0;77.2;1;1;0;1;1;1;1;0;20;0
22500;"Íbúðareign";0;"1998";3;1;8;1;0;99.8;1;1;0;1;1;2;1;1;140;0
15500;"Íbúðareign";1400;"1968";3;1;18;1;0;86;1;1;0;1;1;2;1;0;600;0
31000;"Íbúðareign";1400;"2007";6;2;40;1;3;117.3;1;1;1;2;1;2;1;0;680;105
24000;"Íbúðareign";1400;"1968";1;0;2;1;0;129.4;1;1;0;1;1;3;2;1;600;0
31900;"Íbúðareign";1400;"2008";4;3;21;1;2;124.3;1;1;1;1;1;3;1;0;640;0
38500;"Íbúðareign";1300;"2008";2;1;12;1;2;158;1;1;2;2;1;2;1;0;511;0
19000;"Íbúðareign";1400;"1991";3;0;8;1;0;108.7;1;1;0;1;1;2;1;0;620;0
20500;"Íbúðareign";1400;"1966";4;4;21;1;0;125.7;1;1;0;1;1;3;1;0;600;0
56000;"Einbýlishús";1000;"2011";1;1;1;1;0;194.9;1;0;1;1;1;3;1;2;340;43
24850;"Íbúðareign";1000;"2006";3;1;17;1;0;98.8;1;1;0;1;1;2;1;0;350;0
19859;"Íbúðareign";1000;"1994";3;2;16;1;0;66.8;1;1;0;1;1;1;1;0;330;0
24000;"Íbúðareign";0;"1963";9;4;35;1;1;91.4;1;1;0;1;1;3;1;1;90;0
63800;"Einbýlishús";0;"1924";2;1;1;1;0;243.1;2;0;1;2;1;5;2;0;25;0
48500;"Íbúðareign";1100;"2009";3;2;26;1;4;144;1;1;1;2;1;3;1;0;400;0
34000;"Einbýlishús";0;"1943";1;1;1;1;0;150.7;2;1;1;2;1;3;2;0;100;0
26200;"Íbúðareign";0;"2005";5;4;19;1;1;99.4;1;1;0;1;1;2;1;0;130;0
30900;"Raðhús";1604;"1988";2;1;1;1;0;107.7;2;1;0;1;1;3;2;0;800;0
23500;"Raðhús";6000;"1979";1;1;1;1;0;146.3;1;1;1;1;1;3;1;0;6040;0
41500;"Einbýlishús";6000;"1987";2;1;1;1;0;224;2;1;1;2;1;4;2;0;6020;0
36500;"Einbýlishús";6000;"1969";1;1;1;1;0;179.4;1;1;0;2;1;3;1;0;6030;0
